fault,x_m,z_m
main,-1792.9425,-6817.3655
main,-12.8607,-5881.6275
main,1767.2215,-4945.8890
main,3547.3035,-4010.1510
main,5327.3855,-3074.4125
main,7107.4675,-2138.6740
main,8887.5495,-1202.9360
main,10667.6300,-267.1975
main,12447.7100,668.5409
main,14276.1900,1500.7340
main,16135.8800,2266.1430
main,17995.5700,3031.5520
main,19855.2600,3796.9620
main,21714.9500,4562.3710
main,23574.8450,5327.2795
main,25440.1850,6078.8020
main,27305.5350,6830.3245
main,29170.8750,7581.8475
main,31036.2250,8333.3700
main,32909.0950,9065.9095
main,34782.6150,9796.8080
main,36656.1400,10527.7050
main,38529.6600,11258.6050
main,40403.1800,11989.5050
main,42276.7050,12720.4050
main,44085.0000,13572.4900
main,45941.1550,14118.6250
main,47949.1800,14228.7350
main,49957.2100,14338.8500
main,51965.2350,14448.9650
main,53964.5500,14649.3450
main,55956.5700,14925.2900
main,57949.2400,15196.5450
main,59942.1500,15465.9950
main,61935.0600,15735.4450
main,63927.9700,16004.8950
main,65913.1050,16318.4500
main,67878.0150,16746.7550
main,69842.9150,17175.0550
main,71807.8250,17603.3550
main,73772.7250,18031.6600
main,75737.6350,18459.9650
main,77702.5400,18888.2650
main,79566.3250,19613.8150
main,81499.0400,20119.7050
main,81499.0400,20119.7000
main,83510.9400,20117.4200
main,85522.8050,20105.6800
main,87534.4900,20077.0550
main,89538.9050,20228.1200
main,91541.8050,20418.2550
main,93544.7050,20608.3900
main,95547.6050,20798.5250
main,97550.5050,20988.6600
main,99553.4050,21178.7950
main,101556.3000,21368.9300
main,103559.2000,21559.0650
main,105562.1000,21749.2050
main,107565.0000,21939.3400
main,109567.9000,22129.4750
main,111564.7000,22374.1900
main,113560.3000,22629.9850
main,115555.9000,22885.7800
main,117551.4500,23141.5800
main,119547.0000,23397.3750
main,121542.6000,23653.1700
main,123538.2000,23908.9650
main,125533.8000,24164.7600
main,127529.3000,24420.5550
main,129535.9500,24560.4700
main,131543.9500,24685.3100
main,133552.0000,24810.1450
main,135560.0000,24934.9800
main,137568.0500,25059.8200
main,139576.0500,25184.6500
main,141584.1000,25309.4900
main,143592.1500,25434.3200
main,145600.1500,25559.1600
main,147608.1500,25683.9950
main,149615.3000,25819.6850
main,151616.2000,26029.7700
main,153617.1000,26239.8600
main,155618.0500,26449.9450
main,157618.9500,26660.0350
main,159619.8500,26870.1200
main,161628.6500,26823.0900
main,163638.7500,26736.8350
main,165648.7500,26650.5800
main,167658.8500,26564.3250
main,169664.6000,26542.8600
main,171646.0000,26892.1350
main,173627.3000,27241.4100
main,175608.7000,27590.6850
main,177590.0000,27939.9600
main,179571.4000,28289.2350
main,181552.7500,28638.5100
main,183534.1000,28987.7900
main,185515.5000,29337.0650
main,185515.5000,29337.0600
main,187492.6500,29657.2800
main,189487.2500,29850.0200
main,191481.8500,30042.7600
main,193476.4500,30235.4900
main,195471.0500,30428.2300
main,197465.6500,30620.9700
main,199460.2500,30813.7100
main,201457.7000,30971.8650
main,203457.0000,31106.6950
main,205456.3500,31241.5150
main,207455.7000,31376.3450
main,209455.0000,31511.1750
main,211454.4000,31645.9950
main,213457.6000,31696.7100
main,215460.8500,31745.7550
main,217464.1500,31794.8050
main,219467.4500,31843.8500
main,221470.7500,31892.8950
main,223474.0000,31941.9450
main,225477.3000,31990.9900
